Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29,Top30,Top31,Top32,Top33,Top34,Top35,Top36,Top37,Top38,Top39,Top40,Top41,Top42,Top43,Top44,Top45,Top46,Top47,Top48,Top49,Top50
2020-01-15,btc,eth,xrp,bsv,bch,usdt,ltc,eos,bnb,ada,trx,xmr,xlm,xtz,leo,okb,link,atom,dash,etc,neo,iota,cro,mkr,usdc,ont,zec,vet,xem,bat,doge,btg,usdp,dcr,qtum,tusd,zrx,rvn,hot,algo,rep,bcd,theta,snx,lsk,xno,sxp,ckb,dai,waves
2020-01-16,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,ada,dash,xmr,trx,xlm,xtz,etc,okb,leo,link,atom,neo,iota,cro,zec,mkr,usdc,ont,vet,xem,bat,doge,btg,usdp,dcr,qtum,rep,tusd,zrx,bcd,rvn,algo,hot,theta,lsk,xno,sxp,waves,dai,dgb,snx
2020-01-17,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,ada,dash,xmr,trx,xlm,xtz,etc,atom,link,okb,leo,neo,iota,cro,mkr,ont,usdc,zec,vet,xem,bat,doge,usdp,btg,dcr,qtum,rep,tusd,zrx,rvn,algo,bcd,hot,theta,lsk,xno,snx,dai,dgb,waves,sxp
2020-01-18,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,ada,xlm,xmr,etc,trx,dash,xtz,link,atom,leo,okb,neo,iota,cro,zec,ont,mkr,usdc,vet,xem,bat,doge,dcr,usdp,btg,qtum,rep,zrx,rvn,tusd,algo,bcd,hot,theta,lsk,xno,dai,snx,waves,zen,dgb
2020-01-19,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,ada,xlm,trx,xmr,xtz,link,etc,dash,leo,atom,neo,okb,iota,cro,mkr,zec,usdc,ont,vet,xem,bat,doge,dcr,usdp,btg,qtum,rep,zrx,rvn,tusd,algo,hot,bcd,theta,zen,lsk,xno,dai,sxp,snx,dgb
2020-01-20,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,ada,xlm,xmr,trx,xtz,etc,dash,link,leo,atom,okb,neo,iota,cro,usdc,mkr,zec,ont,vet,xem,bat,doge,usdp,dcr,btg,qtum,rep,tusd,rvn,zrx,algo,hot,bcd,theta,dai,lsk,sxp,zen,xno,waves,snx
2020-01-21,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,ada,xlm,xmr,xtz,trx,etc,dash,link,leo,atom,okb,neo,iota,cro,zec,usdc,mkr,ont,vet,xem,bat,doge,usdp,dcr,btg,qtum,rep,tusd,zrx,rvn,algo,hot,bcd,theta,dai,lsk,sxp,zen,snx,xno,waves
2020-01-22,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,ada,xlm,xmr,trx,xtz,etc,dash,link,leo,atom,okb,neo,iota,cro,zec,usdc,mkr,ont,vet,xem,bat,doge,usdp,dcr,btg,qtum,rep,zrx,rvn,tusd,algo,hot,bcd,theta,dai,lsk,snx,sxp,xno,zen,waves
2020-01-23,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,ada,xlm,trx,xmr,xtz,etc,dash,link,leo,atom,okb,neo,iota,cro,usdc,zec,ont,mkr,xem,vet,bat,doge,usdp,dcr,qtum,btg,rep,zrx,rvn,tusd,algo,hot,theta,sxp,bcd,lsk,dai,snx,xno,waves,zen
2020-01-24,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,ada,xlm,xmr,xtz,trx,etc,dash,link,leo,atom,okb,neo,iota,cro,usdc,zec,mkr,ont,xem,vet,bat,doge,usdp,dcr,qtum,btg,rep,tusd,zrx,rvn,algo,hot,sxp,theta,lsk,dai,bcd,snx,xno,waves,ckb
